Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55414121,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413161,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413608,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413193,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413060,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413070,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413627,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55163474,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55513761,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55513613,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493735,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913815,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55683463,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55973416,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773474,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
557520,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557521,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557522,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557535,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557536,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557537,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557538,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557539,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557552,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557553,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557554,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
557555,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
55754007,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
55754141,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
55752101,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753022,Cidades Importantes do Brasil - Fixo,0,4,0.09,30,6,,55,085
