Code,Destination,Connect Cost(BRL),Included Seconds,Per Minute Cost(BRL),Initial Increment,Increment,Rate Group,Status,Created Date
55308,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55309,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55316,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55317,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55318,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55319,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55326,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55327,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55328,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55329,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55336,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55337,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55338,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55339,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55346,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55347,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55348,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55349,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55356,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55357,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55358,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55359,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55366,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55367,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55368,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55369,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55376,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55377,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55378,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55379,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55386,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55387,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55388,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55389,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55396,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55397,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55398,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55399,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55406,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55407,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55408,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55409,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
