Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55883603,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55843433,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55833259,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55333764,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55893493,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55533246,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55273278,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55883503,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55883565,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55983352,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55653353,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55683235,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55643645,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55643646,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55643645,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55843331,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55713667,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55333298,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55773487,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55753255,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55883425,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55863281,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55773496,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
55753201,Demais Cidades do Brasil - Fixo,0,4,0.04933,30,6,,,777837
