Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
55643645,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643646,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643645,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55843331,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55713667,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333298,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773487,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753255,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883425,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55863281,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773496,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753201,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793635,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183521,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55182106,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183559,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183579,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183502,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183559,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183579,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183522,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183521,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55183502,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55383255,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643695,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643695,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55443449,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55173814,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55653205,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883624,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413678,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413177,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413678,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753496,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753246,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983454,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873838,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873211,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873211,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55843533,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273730,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273735,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983484,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873868,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913689,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813744,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55863297,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55212745,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55453206,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473534,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473534,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473542,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473542,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793437,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793538,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663518,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55743531,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773486,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773631,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873932,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753285,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813695,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55653335,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55933565,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773632,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813693,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873985,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55943363,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913804,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913827,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913817,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733645,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673408,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983387,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773485,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773633,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55943427,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663468,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663468,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333515,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55743651,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273751,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333753,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55443240,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753404,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55823644,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55863282,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55833481,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55543393,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913829,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753627,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55913831,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333732,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55963233,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55933564,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673239,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673239,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413871,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55343324,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55433212,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753365,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773489,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733272,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55773618,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493524,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493524,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983485,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983485,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273759,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55653304,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55753294,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55863252,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813709,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55623464,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55623459,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55623464,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643489,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273769,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663505,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55643489,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733662,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55843359,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55813681,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333611,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55623475,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55983472,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55543348,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55543348,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473624,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55853376,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55163378,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55163314,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55323464,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55993534,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55653348,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793277,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55743699,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193091,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193652,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193653,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193653,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193652,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55353834,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333754,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55873775,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883427,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663549,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55273745,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55743691,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55663576,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193649,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193642,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493339,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493339,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55443576,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55192154,Principais Cidades Do Interior Do Estado De Sp - Fixo,0,4,0.19,30,6
55193824,Principais Cidades Do Interior Do Estado De Sp - Fixo,0,4,0.19,30,6
55193924,Principais Cidades Do Interior Do Estado De Sp - Fixo,0,4,0.19,30,6
55193824,Demais Capitais Estaduais - Fixo,0,4,0.19,30,6
55193924,Demais Capitais Estaduais - Fixo,0,4,0.19,30,6
55143765,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55142150,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55192150,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193482,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55673712,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333352,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493332,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55493332,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613902,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613616,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613502,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613613,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613609,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613619,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613618,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613617,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613616,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613618,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613613,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613617,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55613619,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55483245,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55473359,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333765,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553265,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55553265,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55142151,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55143262,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55143261,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413624,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413624,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55413174,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55833499,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633454,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633906,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633550,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55633454,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55793276,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55163248,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55163258,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55623447,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55333267,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55733547,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55283556,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55323537,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883502,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55883524,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55353344,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
55193539,Demais Cidades Do Brasil - Fixo,0,4,0.33,30,6
