Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55813541,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813972,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55814108,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813542,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813538,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813971,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813542,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813538,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813313,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813541,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55814108,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633389,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55633389,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55323345,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55313887,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55313887,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993311,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993263,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993592,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
559935,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993538,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993538,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993311,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913873,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913842,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993591,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753434,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913784,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913732,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733244,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733255,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883699,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55853373,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55853302,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883661,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883603,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55843433,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833259,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333764,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55893493,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55533246,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273278,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883503,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883565,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983352,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55653353,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55683235,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643645,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643646,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643645,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55843331,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55713667,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333298,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773487,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753255,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883425,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55863281,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773496,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753201,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793635,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183521,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55182106,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183559,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183579,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183502,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183559,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183579,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183522,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183521,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55183502,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55383255,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643695,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643695,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55443449,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55173814,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55653205,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883624,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413678,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413177,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413678,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753496,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753246,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983454,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873838,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873211,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873211,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55843533,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273730,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273735,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983484,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873868,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913689,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813744,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55863297,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55212745,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55453206,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473534,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473534,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473542,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473542,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793437,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793538,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663518,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743531,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773486,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773631,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873932,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753285,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813695,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55653335,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55933565,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773632,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813693,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873985,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55943363,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913804,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913827,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913817,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733645,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55673408,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983387,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773485,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773633,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55943427,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663468,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663468,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333515,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743651,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273751,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333753,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55443240,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753404,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55823644,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55863282,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833481,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55543393,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913829,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753627,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913831,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333732,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55963233,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55933564,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55673239,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55673239,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413871,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55343324,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55433212,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753365,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773489,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733272,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773618,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493524,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493524,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983485,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983485,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273759,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55653304,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753294,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55863252,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813709,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55623464,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55623459,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55623464,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643489,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273769,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663505,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55643489,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55733662,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55843359,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55813681,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333611,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55623475,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55983472,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55543348,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55543348,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55473624,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55853376,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55163378,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55163314,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55323464,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55993534,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55653348,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793277,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743699,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193091,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193652,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193653,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193653,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193652,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55353834,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333754,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873775,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883427,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663549,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55273745,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743691,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55663576,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193649,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193642,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493339,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493339,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55443576,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55192154,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.1113,30,6,,55,8012
55193824,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.1113,30,6,,55,8012
55193924,Principais Cidades do Interior do Estado de SP - Fixo,0,4,0.1113,30,6,,55,8012
55193824,Demais Capitais Estaduais - Fixo,0,4,0.1113,30,6,,55,8012
55193924,Demais Capitais Estaduais - Fixo,0,4,0.1113,30,6,,55,8012
55143765,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55142150,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55192150,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193482,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55673712,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55333352,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493332,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493332,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613902,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613616,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613502,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613613,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613609,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613619,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613618,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613617,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613616,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55613618,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
