Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55773476,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793526,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55423250,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55433556,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55433556,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493545,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493545,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55943342,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493445,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55493445,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883683,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793653,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743617,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55243361,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55713623,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55313872,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813667,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813541,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813972,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55814108,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813542,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813538,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813971,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813542,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813538,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813313,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813541,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55814108,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633389,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55633389,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55323345,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55313887,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55313887,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993311,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993263,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993592,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
559935,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993538,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993538,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993311,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913873,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913842,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55993591,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753434,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913784,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913732,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733244,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733255,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883699,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55853373,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55853302,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883661,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883603,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55843433,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55833259,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333764,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
