Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55414121,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413161,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413608,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413193,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413060,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413070,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55413627,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55163474,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55513761,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55513613,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55493735,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55913815,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55683463,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55973416,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55773474,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557520,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557521,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557522,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557535,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557536,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557537,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557538,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557539,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557552,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557553,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557554,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
557555,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55754007,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55754141,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55752101,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753022,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753029,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753062,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753211,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753303,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753321,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753482,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753484,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753603,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753611,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55752102,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753021,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753023,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753028,Cidades Importantes do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
