Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment
55813578,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55553807,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55333755,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55383526,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55753445,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623503,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55624109,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55624108,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623520,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55343847,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623039,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623343,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623343,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55623350,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55373799,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55373541,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55373514,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55343674,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55343855,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55343671,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55913035,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55913759,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55913751,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55913035,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55883558,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55323447,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55773476,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55793526,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55423250,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55433556,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55433556,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55493545,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55493545,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55943342,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55493445,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55493445,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55883683,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55793653,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55743617,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55243361,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55713623,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
55313872,Demais Cidades do Brasil - Fixo,0,4,0.33,30,6
